Class,Count,Pct,Minority,CVAE_Target_Count,Synthetic_Needed
Benign,13466429,85.574,False,5386571,0
DoS/DDoS,1630554,10.361,False,5386571,3756017
Reconnaissance,8950,0.057,False,5386571,5377621
Exploits,39015,0.248,False,5386571,5347556
Backdoor,3253,0.021,True,5386571,5383318
Bot,0,0.0,True,5386571,5386571
Brute Force,575194,3.655,False,5386571,4811377
Web Attack,2538,0.016,True,5386571,5384033
Infiltration,0,0.0,True,5386571,5386571
Generic,9243,0.059,False,5386571,5377328
Shellcode/Worms,1490,0.009,True,5386571,5385081
